# NEST version: 3.7.0
# RecordingBackendASCII version: 2
sender	time_ms
155	404.000
156	407.900
180	414.600
162	415.100
183	415.500
177	415.800
184	418.100
167	420.900
186	420.900
173	423.700
190	424.900
172	425.500
193	425.600
195	425.600
158	425.700
198	426.200
179	427.500
166	428.100
189	428.800
198	428.800
200	429.100
188	430.100
160	430.500
174	432.100
181	432.600
154	433.000
163	434.300
154	435.000
161	435.600
160	436.300
191	436.800
188	437.000
199	437.500
172	438.800
170	439.200
192	439.400
184	439.700
179	439.800
174	439.900
197	440.900
160	441.500
179	442.200
197	443.100
169	443.300
158	445.000
182	445.400
171	446.100
164	446.300
178	446.300
191	447.000
189	448.100
176	449.200
173	449.800
173	449.900
195	449.900
157	450.100
161	450.500
162	450.700
164	451.600
195	452.000
173	452.300
176	452.400
195	452.600
197	452.700
164	453.100
194	453.700
159	454.000
190	454.100
155	454.300
170	454.900
172	455.200
159	455.500
160	455.600
185	455.600
180	455.700
188	456.100
159	456.500
167	456.500
198	457.000
180	457.400
170	458.600
200	458.900
188	459.800
179	460.100
176	460.800
176	461.300
183	461.400
158	461.800
185	461.900
184	462.300
176	463.400
190	463.700
165	464.400
178	464.800
168	465.300
180	466.500
192	466.900
182	467.400
180	467.600
179	468.000
186	468.400
155	470.200
169	470.200
166	470.400
179	470.400
159	470.700
199	471.100
173	471.300
182	471.400
178	471.600
178	471.900
193	472.200
168	472.400
159	473.000
170	473.100
201	473.200
183	473.300
153	473.400
176	473.800
190	473.900
169	474.200
194	474.300
168	474.500
155	474.600
198	474.600
201	475.500
159	475.900
171	476.300
165	476.400
153	476.600
161	476.700
163	478.600
174	478.600
162	478.900
202	479.800
161	480.000
181	480.400
182	480.500
180	481.200
172	481.800
153	481.900
159	481.900
160	483.400
190	484.900
177	485.600
181	485.600
187	485.800
189	486.300
202	486.900
163	487.700
173	487.700
158	487.800
168	487.800
168	488.300
188	488.400
202	488.800
177	489.000
167	489.100
178	490.100
168	490.300
187	490.300
155	490.400
182	490.500
183	491.100
159	491.300
177	491.400
167	491.800
171	492.400
184	492.500
197	493.200
197	493.600
197	494.200
193	494.300
192	494.400
185	494.500
164	494.900
171	495.000
184	495.000
160	495.100
167	495.200
184	495.300
168	495.700
175	496.000
194	496.100
168	496.200
178	496.600
192	497.900
153	498.400
180	498.600
157	498.800
179	499.100
173	499.500
166	500.500
171	500.500
172	500.500
197	500.500
202	500.700
179	501.000
200	501.200
159	501.900
176	502.200
159	502.500
154	502.600
158	502.600
192	502.600
159	502.900
159	503.200
191	503.200
165	503.500
153	503.700
164	503.900
158	504.400
171	504.600
181	504.700
191	504.700
191	504.900
173	505.100
169	505.200
172	505.400
200	505.800
172	505.900
165	506.200
173	506.600
163	507.000
174	507.300
158	507.500
164	507.500
174	507.600
179	507.700
172	508.000
168	508.500
161	509.300
172	510.000
178	510.200
201	510.200
162	510.900
167	511.300
172	512.000
188	512.100
193	512.200
156	512.500
168	512.600
193	512.600
188	512.800
194	513.300
169	513.500
184	513.700
185	513.800
180	513.900
190	514.200
159	514.600
159	515.500
197	515.800
166	516.800
187	516.800
195	516.900
198	516.900
172	517.500
177	517.700
179	517.700
154	518.400
164	518.400
169	518.400
165	518.500
171	518.500
184	519.100
171	519.200
166	519.600
174	520.200
202	520.300
173	520.500
187	520.700
191	520.700
182	520.800
188	521.200
157	521.400
166	522.100
156	523.800
153	523.900
181	524.200
179	524.800
164	525.100
176	525.400
177	525.400
172	525.900
166	527.400
168	527.500
184	527.700
194	527.700
166	527.900
196	527.900
190	528.200
193	528.700
158	529.100
195	529.400
198	529.400
165	530.000
185	530.000
157	530.100
191	530.100
174	530.400
163	530.900
154	531.000
167	531.300
176	532.200
193	532.400
182	532.500
159	533.000
163	533.100
168	533.200
163	533.300
165	533.300
159	533.400
190	533.500
188	533.600
180	533.800
153	533.900
197	536.500
166	536.700
202	536.900
153	537.800
154	537.800
166	537.900
169	537.900
165	538.400
191	538.400
169	538.600
162	538.700
197	538.700
160	538.900
179	538.900
171	539.100
175	539.100
155	539.700
170	540.100
182	540.200
179	540.900
177	541.200
189	541.800
186	542.000
166	542.300
165	542.400
160	543.100
172	543.300
160	543.400
202	543.400
156	544.000
193	544.600
168	544.700
165	545.000
176	546.000
154	546.200
193	546.200
180	546.500
170	546.800
195	546.800
175	547.000
155	547.800
172	547.800
188	547.800
169	548.100
175	548.100
