# NEST version: 3.7.0
# RecordingBackendASCII version: 2
sender	time_ms
137	408.300
103	409.400
151	414.200
143	414.500
146	414.900
122	415.300
141	416.400
151	417.700
117	418.400
110	418.500
146	418.500
141	420.200
103	421.500
122	421.500
132	422.200
133	422.400
150	423.100
126	423.600
117	425.400
127	425.500
119	426.200
152	426.400
123	426.500
123	426.600
120	426.900
147	428.200
125	430.100
121	431.700
125	432.200
109	432.600
123	433.300
132	435.500
137	437.000
152	438.400
132	438.500
126	440.000
103	440.400
103	440.500
136	441.200
111	441.800
119	441.900
123	442.100
123	442.300
126	442.800
149	443.300
137	443.600
108	444.500
135	445.100
116	445.400
129	445.400
128	446.700
131	446.800
125	446.900
150	446.900
145	447.300
118	447.500
104	447.900
124	448.500
115	448.600
143	448.600
139	449.000
142	449.000
146	449.200
112	449.400
136	450.100
106	450.200
119	450.200
136	450.600
144	450.900
138	451.300
114	451.800
137	451.800
132	452.100
137	452.100
139	452.100
113	452.700
115	452.700
108	452.800
125	453.200
151	453.400
126	453.900
124	455.000
129	455.100
147	455.700
138	455.800
141	455.800
118	456.000
135	456.300
137	456.800
118	456.900
147	457.200
128	457.300
134	457.600
114	457.700
104	458.700
139	458.700
142	458.800
118	459.100
130	459.100
128	459.400
143	459.600
140	459.900
148	460.400
120	460.500
124	461.200
108	461.800
137	461.900
140	461.900
150	461.900
116	462.000
131	462.100
105	462.200
109	462.200
131	462.700
103	462.800
149	462.900
104	463.100
148	463.200
107	463.700
109	463.900
137	463.900
140	464.000
127	464.300
121	464.800
117	465.000
105	465.100
149	465.100
140	465.200
142	465.200
127	465.300
115	466.100
124	466.300
105	466.500
111	466.500
152	466.500
135	466.700
150	467.500
123	467.600
129	467.800
135	467.800
150	468.100
118	468.300
136	468.500
105	468.900
107	469.000
132	469.000
146	469.000
136	469.100
131	469.200
132	469.500
130	469.800
137	469.900
139	469.900
115	470.100
137	470.100
148	470.100
119	470.500
127	470.900
136	470.900
121	471.100
131	471.200
145	471.300
138	472.200
127	472.300
118	472.400
119	472.700
147	473.000
112	473.100
125	473.100
109	473.200
124	473.300
126	473.300
131	474.100
117	474.300
107	474.400
126	474.900
149	475.100
105	475.900
107	476.100
122	476.100
127	476.100
143	476.200
134	476.600
105	477.100
132	477.400
147	477.600
117	477.800
137	478.000
143	478.000
138	478.100
131	478.200
136	478.200
150	478.400
115	478.600
142	478.800
111	479.000
130	479.000
147	479.300
139	479.600
110	479.800
137	479.800
122	479.900
118	480.200
142	480.300
121	480.400
128	480.700
138	481.400
129	481.600
104	481.700
107	482.000
148	482.000
142	482.300
135	482.700
139	482.700
141	482.900
108	483.800
132	484.000
151	484.000
127	484.100
131	484.100
140	484.200
124	484.900
138	485.200
138	485.300
151	485.300
151	485.400
130	485.600
145	485.700
105	485.800
117	485.800
143	485.800
131	486.500
119	486.700
140	486.900
127	487.000
140	487.100
106	487.400
115	487.600
132	487.800
142	488.500
148	488.700
116	489.100
125	489.400
132	489.600
150	489.600
118	489.700
149	490.000
144	490.400
135	490.600
148	490.800
151	491.700
117	491.800
148	491.800
134	491.900
103	492.900
113	493.200
114	493.200
143	493.400
105	493.600
111	493.600
146	494.000
104	494.100
114	494.100
137	495.300
122	495.400
132	495.400
147	495.800
149	496.100
124	496.200
138	496.600
149	496.600
117	497.400
134	497.400
132	497.800
147	498.100
118	498.300
146	498.500
104	498.900
127	499.100
109	499.200
129	499.200
141	499.200
134	499.400
142	499.500
141	500.100
106	500.200
103	500.300
111	500.300
113	500.300
141	500.300
123	500.500
146	500.600
108	500.700
117	500.700
132	501.100
114	501.300
109	501.400
123	501.400
125	501.900
134	501.900
146	502.000
118	502.100
140	502.700
146	502.800
