# NEST version: 3.7.0
# RecordingBackendASCII version: 2
sender	time_ms
497	655.000
531	655.000
473	656.000
492	658.000
452	659.000
484	659.000
556	659.000
581	659.000
591	661.000
554	662.000
475	663.000
540	663.000
596	663.000
531	664.000
570	665.000
429	666.000
434	666.000
486	666.000
525	666.000
556	666.000
415	667.000
422	667.000
442	667.000
546	667.000
558	667.000
404	668.000
439	668.000
474	668.000
502	668.000
418	669.000
434	669.000
447	669.000
462	669.000
530	670.000
407	671.000
442	671.000
454	671.000
503	671.000
425	672.000
437	672.000
468	672.000
523	672.000
526	672.000
578	673.000
410	674.000
415	674.000
458	674.000
513	674.000
590	674.000
439	675.000
478	675.000
545	675.000
564	675.000
571	675.000
449	676.000
505	676.000
517	676.000
554	676.000
566	676.000
468	677.000
548	677.000
563	677.000
446	678.000
473	678.000
503	678.000
536	678.000
448	679.000
452	679.000
472	679.000
517	679.000
568	679.000
569	679.000
593	679.000
414	680.000
582	680.000
404	681.000
406	681.000
443	681.000
462	681.000
536	681.000
540	681.000
556	681.000
579	681.000
430	682.000
481	682.000
491	682.000
515	682.000
521	682.000
576	682.000
595	682.000
415	683.000
465	683.000
471	683.000
498	683.000
516	683.000
574	683.000
483	684.000
492	684.000
495	684.000
523	684.000
557	684.000
566	684.000
582	684.000
586	684.000
429	685.000
450	685.000
506	685.000
527	685.000
553	685.000
581	685.000
417	686.000
424	686.000
574	686.000
579	686.000
465	687.000
469	687.000
503	687.000
547	687.000
551	687.000
439	688.000
445	688.000
462	688.000
537	688.000
555	688.000
556	688.000
409	689.000
417	689.000
453	689.000
589	689.000
491	690.000
502	690.000
542	690.000
553	690.000
557	690.000
558	690.000
568	690.000
511	691.000
534	691.000
547	691.000
577	691.000
585	691.000
418	692.000
421	692.000
439	692.000
449	692.000
499	692.000
566	692.000
570	692.000
588	692.000
430	693.000
443	693.000
498	693.000
501	693.000
517	693.000
539	693.000
558	693.000
586	693.000
596	693.000
597	693.000
602	693.000
415	694.000
418	694.000
458	694.000
461	694.000
512	694.000
571	694.000
408	695.000
413	695.000
418	695.000
452	695.000
462	695.000
481	695.000
520	695.000
521	695.000
528	695.000
577	695.000
602	695.000
429	696.000
433	696.000
434	696.000
493	696.000
541	696.000
565	696.000
405	697.000
415	697.000
468	697.000
489	697.000
498	697.000
546	697.000
550	697.000
559	697.000
408	698.000
