# NEST version: 3.7.0
# RecordingBackendASCII version: 2
sender	time_ms
141	154.500
124	162.500
109	163.900
137	164.300
111	164.700
133	167.300
149	167.400
117	167.500
105	168.100
123	169.100
137	169.400
108	171.100
130	171.100
124	171.800
141	172.000
126	172.200
134	174.600
107	175.000
136	176.400
112	176.800
152	178.600
105	178.800
149	180.000
145	180.200
132	180.500
126	180.600
109	180.900
107	181.100
145	181.200
127	182.400
134	182.600
112	182.800
145	183.300
135	184.100
112	184.200
113	184.900
141	185.400
123	185.900
145	186.500
121	188.500
145	189.200
112	189.300
129	189.400
145	190.100
131	190.300
137	190.300
152	191.200
148	191.800
127	191.900
142	196.300
141	196.900
113	197.100
113	197.500
122	198.200
115	198.700
129	198.800
138	198.900
117	200.400
143	200.500
151	200.600
105	200.800
122	200.900
134	201.200
139	201.600
105	201.700
152	201.800
136	202.400
131	202.500
110	202.600
119	202.800
109	203.100
144	203.100
137	203.400
120	205.100
140	205.200
115	205.400
132	205.500
106	205.800
107	205.900
134	206.600
144	206.700
104	206.900
117	206.900
143	207.200
147	207.300
106	207.400
114	207.700
126	207.900
124	208.000
117	208.500
123	209.000
132	209.500
125	209.700
105	209.900
144	210.100
117	210.400
145	210.600
121	210.800
109	210.900
115	212.000
145	213.400
123	213.800
128	213.800
127	214.300
103	215.000
150	215.100
151	216.000
106	216.100
113	216.200
134	216.400
148	216.400
134	218.000
150	218.800
120	219.100
140	219.300
109	219.600
122	219.700
150	219.900
105	220.400
123	220.700
112	221.600
117	222.000
114	222.700
121	222.700
151	223.700
143	224.700
128	224.800
126	224.900
127	225.200
119	225.400
107	225.500
148	225.600
152	225.900
128	226.500
130	226.500
140	226.600
116	227.800
114	228.700
132	228.800
137	228.800
106	228.900
124	229.100
131	229.300
133	229.300
148	229.600
137	229.700
143	229.700
111	229.800
133	229.800
126	230.400
110	231.800
138	232.300
150	232.400
143	232.800
136	233.400
123	233.600
139	234.000
135	234.200
138	234.800
144	235.100
113	235.300
140	235.800
132	236.500
140	236.600
139	236.900
136	237.200
107	237.300
142	237.600
146	237.800
152	237.900
150	238.200
104	238.300
116	239.300
119	239.600
118	240.000
105	240.300
120	240.400
143	240.500
132	241.300
122	241.400
146	241.600
116	241.800
113	242.100
109	242.200
125	242.400
147	242.600
123	242.700
139	243.200
148	243.300
110	243.400
150	243.400
129	243.700
124	244.100
113	244.600
109	244.900
127	244.900
117	245.000
106	245.100
126	245.400
152	245.600
134	245.800
119	246.100
132	246.500
139	246.800
108	247.300
146	247.500
140	248.100
118	249.800
146	250.200
129	250.500
118	251.700
150	252.000
115	252.400
132	252.500
116	252.900
126	253.000
149	253.400
113	253.900
138	254.100
104	254.200
107	255.200
128	255.400
129	255.800
151	255.900
124	256.000
137	256.200
113	256.400
121	257.900
104	258.100
112	258.200
108	258.600
136	259.000
152	259.000
109	259.100
148	259.300
109	259.400
112	259.500
117	260.900
144	261.200
126	261.400
122	262.300
151	262.700
132	262.900
132	263.000
142	263.600
140	263.800
121	263.900
123	264.800
129	264.800
128	264.900
131	265.100
144	265.100
108	265.600
140	265.900
107	266.000
151	266.300
116	266.500
124	266.800
145	267.300
136	267.500
132	267.600
147	267.600
138	267.700
148	267.700
104	267.800
142	268.500
113	269.600
122	270.300
144	270.300
148	271.500
104	271.600
143	271.600
105	272.200
124	272.200
128	272.200
134	272.200
115	272.600
134	272.600
111	273.000
140	273.700
151	273.800
115	274.100
145	274.700
120	274.900
115	275.900
145	276.000
123	276.100
119	277.100
125	277.400
128	277.500
136	278.100
149	278.300
137	278.500
150	278.500
110	278.800
146	278.800
134	279.100
122	279.800
111	280.000
140	280.000
106	280.500
112	281.200
107	281.900
136	281.900
146	282.300
150	282.300
118	282.900
149	282.900
