# NEST version: 3.7.0
# RecordingBackendASCII version: 2
sender	time_ms
189	157.900
195	158.900
170	159.200
200	161.000
194	161.100
164	162.800
202	164.100
163	164.600
186	171.300
167	171.500
177	171.500
173	171.700
164	173.100
160	174.300
167	174.300
161	175.200
184	176.000
202	177.700
200	179.800
202	179.900
156	180.100
201	180.500
169	181.000
166	181.100
166	181.700
172	181.700
157	182.100
160	182.700
184	182.900
187	183.100
159	183.200
177	184.200
201	184.200
180	184.800
168	185.100
155	185.500
162	185.800
168	186.300
193	186.900
184	187.000
192	187.100
153	187.600
196	187.900
175	188.000
187	188.100
168	188.300
173	188.500
200	188.600
179	189.300
192	189.900
202	190.300
193	190.400
181	190.500
154	190.700
153	191.000
183	191.400
199	191.600
162	193.400
173	193.500
168	193.800
156	194.700
178	195.200
171	195.300
191	195.300
173	195.800
194	195.800
175	196.200
155	196.900
172	197.100
187	197.600
200	197.700
190	197.900
177	198.300
193	198.400
166	199.400
153	199.700
193	200.000
201	200.100
155	200.400
196	200.400
197	200.400
155	200.600
157	200.600
177	200.600
201	200.800
167	201.400
162	201.800
189	201.800
165	202.000
163	202.300
177	202.500
160	203.100
200	203.600
171	204.400
195	204.700
165	205.100
178	205.900
162	206.100
190	206.700
202	207.100
169	207.500
171	207.900
163	208.100
164	208.600
159	208.700
167	208.800
159	208.900
157	209.100
173	209.300
168	209.400
196	209.600
200	210.000
199	210.500
181	210.600
189	210.700
183	210.900
184	210.900
169	211.300
184	211.300
191	211.400
178	211.500
187	211.900
157	212.000
193	212.300
170	212.500
166	212.600
187	212.800
176	213.100
189	213.100
196	213.300
154	213.400
175	214.000
191	214.300
171	214.400
182	214.400
171	214.600
158	214.900
159	215.500
155	215.900
172	216.100
168	216.600
190	216.600
166	216.700
194	216.800
181	217.000
176	217.100
169	218.300
166	218.600
179	218.600
165	218.900
157	219.300
161	220.100
181	220.100
187	220.300
172	220.500
193	220.700
183	221.000
180	221.900
186	221.900
180	222.100
201	222.700
194	223.000
167	223.100
175	223.100
170	223.800
191	224.600
163	224.900
173	226.200
194	226.300
167	226.400
154	226.500
185	226.700
172	227.000
158	227.100
201	227.200
201	227.800
194	228.100
160	228.200
154	228.300
155	228.300
202	228.700
175	228.800
199	228.800
183	229.000
193	229.200
165	230.000
180	230.500
191	230.800
202	231.300
190	231.400
181	231.800
157	232.100
165	232.200
163	232.300
175	232.800
181	233.100
174	233.200
172	233.300
198	233.400
153	233.500
175	233.600
197	233.700
192	233.900
193	234.200
196	234.300
177	234.400
200	234.500
167	235.000
202	235.000
198	235.800
191	236.700
175	237.300
198	237.500
168	237.700
191	237.900
192	238.100
172	238.200
164	238.600
163	238.700
202	238.700
172	238.900
171	239.000
201	239.000
154	239.100
189	239.100
182	239.600
170	239.700
166	239.800
197	239.900
191	240.100
201	240.400
171	241.100
175	241.100
158	241.500
159	241.600
154	241.900
155	242.200
162	242.200
179	242.200
170	242.300
191	242.300
178	242.500
201	242.500
176	243.000
194	243.100
163	243.800
180	243.800
173	243.900
189	244.200
192	244.300
172	245.100
185	245.100
200	245.100
182	245.400
182	245.600
195	245.600
195	245.800
153	246.000
202	246.100
167	246.600
187	246.600
157	246.800
202	247.000
199	247.400
179	247.700
183	247.800
199	247.900
171	248.200
179	248.200
190	248.900
174	249.600
183	250.200
202	250.200
158	251.600
191	251.700
157	251.800
153	252.300
194	252.300
164	252.400
167	252.800
177	253.000
167	253.400
193	253.500
156	253.800
174	253.900
196	254.200
172	254.600
191	255.000
195	255.000
201	255.000
156	255.100
185	255.100
188	255.300
176	256.000
178	256.000
188	256.000
190	256.100
190	256.200
161	256.300
168	256.300
191	256.300
180	256.500
160	256.600
172	256.600
174	256.700
180	256.900
162	257.000
167	257.100
183	257.600
189	257.700
178	257.900
174	258.000
202	258.400
165	258.600
197	258.900
183	259.000
178	259.200
155	259.300
161	259.300
163	259.400
171	259.400
189	259.400
186	259.600
164	259.800
200	259.900
171	260.000
195	260.000
174	260.200
193	260.400
194	260.500
161	260.600
158	260.700
169	260.700
198	261.100
171	261.300
164	261.800
181	262.100
192	262.100
178	262.400
170	262.500
175	262.500
177	262.700
177	262.900
191	262.900
161	263.300
182	263.400
186	263.600
200	263.600
169	263.700
175	264.600
181	264.600
189	264.700
191	264.900
166	265.000
153	265.100
199	265.200
195	265.400
167	265.600
183	265.800
177	265.900
157	266.000
192	266.300
155	266.900
193	267.400
202	267.400
185	267.500
192	268.000
182	268.300
196	268.500
192	269.100
166	269.300
173	269.300
160	269.400
169	269.800
194	270.000
163	270.200
170	270.200
191	270.200
189	270.800
181	270.900
170	271.200
163	271.800
179	271.900
175	272.400
164	272.500
160	272.600
192	273.200
189	273.600
194	273.600
179	273.900
195	273.900
183	274.100
178	274.200
163	274.400
186	274.400
179	274.700
153	274.800
161	275.000
194	275.800
164	276.000
163	276.200
179	276.500
174	276.600
179	277.100
161	277.400
159	278.700
188	278.700
198	278.800
189	278.900
158	279.100
188	279.300
166	279.800
161	280.000
178	280.200
169	280.300
176	280.400
163	280.500
165	281.200
169	281.200
178	281.200
198	281.200
160	281.300
153	281.400
156	281.500
182	281.700
168	281.900
176	281.900
187	282.400
180	282.600
168	283.500
197	283.500
170	283.600
200	283.700
202	284.100
198	284.300
192	284.500
157	284.600
159	284.600
202	284.900
195	285.000
161	285.300
169	285.400
165	285.500
185	285.500
192	285.700
180	286.300
188	286.400
197	286.600
199	287.100
175	287.200
174	287.300
197	287.700
175	287.800
192	288.300
202	288.300
183	288.500
189	288.600
169	288.700
181	288.800
173	289.000
171	289.100
164	289.300
200	289.300
193	289.500
190	289.600
168	290.100
184	290.500
170	290.600
169	290.700
155	290.900
196	291.000
185	291.200
191	291.700
194	291.800
166	292.000
175	292.000
200	293.000
183	293.400
158	293.500
168	293.500
182	293.700
163	293.900
174	294.100
183	294.400
189	294.400
172	294.500
194	294.500
197	294.600
165	294.800
181	295.300
170	295.500
157	296.100
193	296.600
185	297.000
169	297.100
169	297.300
162	297.800
158	298.000
171	298.800
187	299.100
